STATE/UT,DISTRICT,TEHSIL/BLOCK ,VILLAGE NAME,SITE NAME,latitude,longitude,WELL SITE TYPE,water_level
Andhra Pradesh,Chittoor,Somala,Burujupalle,Burujupalle1-NQM,13.5297222,78.7855556,Bore Well,15.38
Andhra Pradesh,Chittoor,Somala,Burujupalle,Burujupalle-NQM,13.529724,78.785763,Bore Well,14.3
Andhra Pradesh,Chittoor,Somala,Somala,Somala1-NQM,13.47687,78.810551,Bore Well,11.94
Andhra Pradesh,Chittoor,Somala,Somala,Somala2-NQM,13.47687,78.810551,Bore Well,12.26
,,NAME,,,,,,LEVEL
,,,,,,,,(mbgl)
Andhra Pradesh,Chittoor,Srikalahasthi,Erpedu,Erpedu1,13.697156,79.594039,Dug Well,0.78
Andhra Pradesh,Chittoor,Srikalahasthi,Srikalahasthi,Srikalahasthi,13.752364,79.702453,Dug Well,2.04
,,,,2013DW,,,,
Andhra Pradesh,Chittoor,Srirangarajupuram,Arumakapalli,Arumakapalli-DW14,13.303271,79.287134,Dug Well,7.18
Andhra Pradesh,Chittoor,Thambalapalle,Kandlamadugu,Kandlamadugu,13.66631,78.41837,Dug Well,0.93
Andhra Pradesh,Chittoor,Tirupati(R),Suritipalli,Suritipalli,13.3354,79.872994,Dug Well,0.31
Andhra Pradesh,Chittoor,Tirupati(R),Tayyuru,Tayyuru,13.302892,79.311273,Dug Well,5.3
Andhra Pradesh,Chittoor,Tirupati(R),Tirumala,Tirumala1,13.684841,79.344625,Dug Well,2.8
Andhra Pradesh,Chittoor,Tirupati(U),Tirupati(U),Tirupati(U),13.642481,79.421505,Dug Well,3.94
Andhra Pradesh,Chittoor,Varadaiahpalem,Chinna Panduru,Chinna panduru,13.54444,79.941657,Dug Well,0.61
Andhra Pradesh,Chittoor,Vayalpadu,Thurukupalli,Thurukupalli-DW14,13.62377,78.69937,Dug Well,1.6
Andhra Pradesh,Chittoor,Vedurukuppam,Karvetnagar,Karvetnagar1,13.426237,79.453139,Dug Well,3.82
Andhra Pradesh,Chittoor,Venkatagirikota,Bairupalli,Bairupalli-NQM,12.963173,78.507393,Bore Well,3.61
Andhra Pradesh,Chittoor,Venkatagirikota,Venkatagirikota,Venkatagirikota,13.000809,78.479339,Dug Well,4.67
Andhra Pradesh,Chittoor,Yadamarri,Muddu Rampuram,Muddu Rampuram-,13.109653,78.995284,Dug Well,3.55
,,,,DW13,,,,
Andhra Pradesh,Chittoor,Yerpedu,Yerpedu,Palem-DW14,13.820228,79.584794,Dug Well,1.42
Andhra Pradesh,Cuddapah,Brahmamgarimatha,Chaudarivaripalli,Chaudarivaripalli,14.832012,78.95212,Dug Well,1.75
,,m,,DW13,,,,
Andhra Pradesh,Cuddapah,"Brahmamgarimatha
m",Chowkpalli,Chowkpalli DW13,14.89482,78.923965,Dug Well,2.55
Andhra Pradesh,Cuddapah,"Brahmamgarimatha
m",Mallegudupadu,Mallegudupadu,14.793098,78.978771,Bore Well,0.02
Andhra Pradesh,Cuddapah,"Brahmamgarimatha
m",Vbmatham,Vbmatham,14.820872,78.87815,Dug Well,1.97
Andhra Pradesh,Cuddapah,Chakrayapeta,Mahadevpalle,Mahadevpalle,14.209781,78.517905,Bore Well,2.23
Andhra Pradesh,Cuddapah,Chapad,Alludupally,Alludupally,14.71928,78.677051,Dug Well,2.29
Andhra Pradesh,Cuddapah,Chapad,Alludupally,Alludupally1,14.719086,78.676753,Bore Well,4.89
Andhra Pradesh,Cuddapah,Chapad,Vishwanathpuram,Vishwanathpuram,14.725289,78.707497,Dug Well,2.45
,,,,DW13,,,,
,,NAME,,,,,,LEVEL
,,,,,,,,(mbgl)
Andhra Pradesh,Cuddapah,Chinnamandyam,Chinnamandyam,Chinnamandyam,13.94948,78.68845,Bore Well,2.23
Andhra Pradesh,Cuddapah,D.Kodur,Mallepalle,Mallepalle,14.8889,78.880741,Dug Well,3.5
Andhra Pradesh,Cuddapah,Duvvur,Kanagudur,Kanagudur-DW14,14.916618,78.617621,Dug Well,1.35
Andhra Pradesh,Cuddapah,Galiveedu,Galiveedu,Galiveedu-alt,14.02485,78.50271,Dug Well,0.75
Andhra Pradesh,Cuddapah,Galiveedu,Nakkalavandlapalli,Nakkalavandlapalli-,14.03883,78.54328,Bore Well,1.45
,,,,EW,,,,
Andhra Pradesh,Cuddapah,Jammalamadugu,Jammalamadugu,Jammalamadugu-,14.85227,78.387915,Dug Well,4.1
,,,,DW14,,,,
Andhra Pradesh,Cuddapah,Kamalapuram,Chadipirala T,Chadipirala T-DW14,14.52212,78.63696,Dug Well,0.85
Andhra Pradesh,Cuddapah,Khazipet,Pathur,Pathur DW13,14.647221,78.775095,Dug Well,1.9
Andhra Pradesh,Cuddapah,Kodur,Koduru,Koduru-DW13,13.95871,79.35315,Dug Well,5.15
Andhra Pradesh,Cuddapah,Kodur,Prabhalaveedu,Prabhalaveedu,14.79255,79.009114,Bore Well,1.45
Andhra Pradesh,Cuddapah,Kodur,Sagileru,Sagileru,14.950724,78.95489,Bore Well,10.02
Andhra Pradesh,Cuddapah,Kondapuram,Donkapalli Satram,Donkapalli Satram-,14.731518,78.14634,Dug Well,2.35
,,,,DW13,,,,
Andhra Pradesh,Cuddapah,Lakkireddipalle,Lakkireddipalli,Lakkireddipalli,14.1966667,78.7313889,Dug Well,3.77
Andhra Pradesh,Cuddapah,Lingala,Diguva Lingala,Diguva lingala,14.497139,78.115782,Dug Well,5.8
Andhra Pradesh,Cuddapah,Mylavaram,Talamanchipatnm,Talamanchipatnm,14.94489,78.311803,Dug Well,0.97
Andhra Pradesh,Cuddapah,Obulavaripalle,G.Venkatapuram,G.Venkatapuram OW 14.0142,,79.2372,Bore Well,31.91
,,,,AQ II,,,,
Andhra Pradesh,Cuddapah,Obulavaripalle,Mangampet,Mangampet-EW-AQI,14.04102,79.30847,Bore Well,3.1
Andhra Pradesh,Cuddapah,Penagalur,Reddivaripally,Reddivaripally,14.32187,79.28923,Bore Well,2.76
Andhra Pradesh,Cuddapah,Penagalur,Vadipalli Brahmagari,Vadipalli Brahmagari,14.24839,79.23571,Bore Well,12.26
,,,Devalayam,Devalayam,,,,
Andhra Pradesh,Cuddapah,Pullampet,Ananthasamudram,Ananthasamudram,14.06556,79.16972,Bore Well,8.48
Andhra Pradesh,Cuddapah,Pullampet,Ananthasamudram,Ananthasamudram,14.06523,79.16967,Bore Well,8.48
,,,,OW AQ II,,,,
,,NAME,,,,,,LEVEL
,,,,,,,,(mbgl)
Andhra Pradesh,Cuddapah,Pullampet,Pullampeta,"Pullampet EW of AQ
II",14.12081,79.21148,Bore Well,5.88
Andhra Pradesh,Cuddapah,Rajampet,Gundluru,Gundluru EW AQ I,14.25071,79.11377,Bore Well,2.66
Andhra Pradesh,Cuddapah,Rajampet,Kamapally,Kamapally EW AQ I,14.18908,79.00881,Bore Well,11.5
Andhra Pradesh,Cuddapah,Ramapuram,Ramapuram,Ramapuram1,14.19364,78.76031,Bore Well,4.89
Andhra Pradesh,Cuddapah,Rf,Guvvalacheruvu,Guvvalacheruvu,14.29693,78.7523,Dug Well,2.23
Andhra Pradesh,Cuddapah,Sandepalle,Konnidigaripalli,Konnidigaripalli,13.98899,78.95367,Dug Well,6.8
,,,,DW13,,,,
Andhra Pradesh,Cuddapah,Simhadripuram,Sunkesula,Sunkesula-NQM,14.65215,78.211649,Bore Well,1.15
Andhra Pradesh,Cuddapah,T.Sundupalle,Pincha,Pincha,13.91567,78.99868,Dug Well,5.57
Andhra Pradesh,Cuddapah,Veeraballe,Sanipai,Sanipai,14.10753,78.94972,Dug Well,2.05
Andhra Pradesh,Cuddapah,Veerapanayanipalle,Kommadi,Kommadi,14.546137,78.441925,Bore Well,3.25
Andhra Pradesh,Cuddapah,Veerapanayanipalle,N.Pallagiri,N.Pallagiri,14.457134,78.442387,Bore Well,4.41
Andhra Pradesh,Cuddapah,Vempalle,Idupulapaya,Idupulapaya-DW14,14.334347,78.53285,Dug Well,4.49
Andhra Pradesh,Cuddapah,Vempalle,Tallapalli,Tallapalli,14.373301,78.388035,Bore Well,2.7
Andhra Pradesh,Cuddapah,Vemula,V.Kottapalli,V.Kottapalli-NQM,14.370006,78.358853,Bore Well,3.98
Andhra Pradesh,East Godavari,Addatigala,Addateegala,Addateegala,17.4633,82.0271,Dug Well,8.26
Andhra Pradesh,East Godavari,Addatigala,Mallavaram Mammilu,Mallavaram,17.5032,82.0124,Dug Well,4.38
,,,,Mammilu-DW14,,,,
Andhra Pradesh,East Godavari,Addatigala,Veerbhadrapuram,Veerbhadrapuram-,17.4379,82.074,Dug Well,1.67
,,,,DW13,,,,
Andhra Pradesh,East Godavari,Ainavilli,Ainavilli,Ainavilli-DW14,16.6613,82.0125,Dug Well,1.71
Andhra Pradesh,East Godavari,Ainavilli,Mukteshwaram,Mukteshwaram-,16.6602,82.0246,Dug Well,6.63
,,,,DW14,,,,
Andhra Pradesh,East Godavari,Ainavilli,Vilasa,Vilasa-DW14,16.6187,82.0195,Dug Well,0.92
Andhra Pradesh,East Godavari,Amalapuram,Amalapuram,Amalapuram,16.562,81.9956,Dug Well,1.2
Andhra Pradesh,East Godavari,Amalapuram,Amalapuram,Amalapuram-PZ,16.5734,82.0051,Bore Well,1.74
,,NAME,,,,,,LEVEL
,,,,,,,,(mbgl)
Andhra Pradesh,East Godavari,Amalapuram,Bandurlanka,Bandurlanka-DW13,16.5882,81.9738,Dug Well,3.8
Andhra Pradesh,East Godavari,Ambajupeta,Ambajipeta,Ambajipeta-DW13,16.5933,81.9523,Dug Well,3.35
Andhra Pradesh,East Godavari,Ambajupeta,Chinalanka,Chinalanka-DW13,16.6544,81.9381,Dug Well,2.18
Andhra Pradesh,East Godavari,Atreyapuram,Atreyapuram,Atreyapuram-NQM,16.8319,81.7872,Bore Well,8.79
Andhra Pradesh,East Godavari,Atreyapuram,Dowalaiswaram -3,Dowalaiswaram -PZ3,16.9392,81.7866,Tube Well,8.12
Andhra Pradesh,East Godavari,Atreyapuram,Rally,Rally-DW14,16.7796,81.8027,Dug Well,5.17
Andhra Pradesh,East Godavari,Devipatnam,Chinna Ramanayapet,Chinna Ramanayapet- 17.3235,,81.6974,Dug Well,1.9
,,,,DW13,,,,
Andhra Pradesh,East Godavari,Gangavaram,Gangavaram,Gangavaram1,17.3875,81.9152778,Dug Well,5
Andhra Pradesh,East Godavari,Gangavaram,Jaderu,Jaderu-DW14,17.4805,81.9523,Dug Well,1.92
Andhra Pradesh,East Godavari,Gokavaram,Bhavugipet,Bhavugipet-DW13,17.2083,81.8467,Dug Well,4.1
Andhra Pradesh,East Godavari,Gokavaram,Gokavaram,Gokavaram,17.2653,81.8475,Dug Well,2.74
Andhra Pradesh,East Godavari,Gollaprolu,Gollaprolu,Gollaprolu,17.1538,82.2864,Dug Well,1.61
Andhra Pradesh,East Godavari,I.Polavaram,Komaragiri,Komaragiri-DW14,16.6963,82.1802,Dug Well,1.41
Andhra Pradesh,East Godavari,I.Polavaram,Muramalla,Muramalla 2013DW,16.6728,82.165,Dug Well,2.05
Andhra Pradesh,East Godavari,I.Polavaram,Yanam,Yanam,16.7294,82.2141,Dug Well,2.3
Andhra Pradesh,East Godavari,Kakinada(R),Chollangi,Chollangi-DW13,16.8854,82.2339,Dug Well,1.4
Andhra Pradesh,East Godavari,Kakinada(R),Repuru,Repuru-DW14,16.9557,82.1893,Dug Well,1.37
Andhra Pradesh,East Godavari,Kakinada(R),Vakalpudi,Vakalpudi,17.0137,82.2835,Dug Well,0.41
Andhra Pradesh,East Godavari,Kakinada(U),Anjaneyanagar,Anjaneyanagar 2012,17.0094,82.2482,Dug Well,1.5
Andhra Pradesh,East Godavari,Kakinada(U),Fishing Horbour,Fishing Horbour 2012,16.985,82.2757,Dug Well,1.3
Andhra Pradesh,East Godavari,Kakinada(U),Kakinada-Pz,Kakinada-Pz,16.9833,82.2491,Bore Well,13
Andhra Pradesh,East Godavari,Kakinada(U),Kasinadhapuram,Kasinadhapuram,16.9248,82.236,Dug Well,1.25
,,,,2012,,,,
,,NAME,,,,,,LEVEL
,,,,,,,,(mbgl)
Andhra Pradesh,East Godavari,Kakinada(U),Santhacheruvu,Santhacheruvu 2012,16.9503,82.237,Dug Well,1.15
Andhra Pradesh,East Godavari,Kakinada(U),Thimmapuram,Thimmapuram-NQM,17.024,82.2419,Bore Well,2.04
Andhra Pradesh,East Godavari,Kotananduru,Jaldam,Jaldam-DW14,17.4486,82.3317,Dug Well,2.67
Andhra Pradesh,East Godavari,Kothapalle,Uppada,Uppada,17.0805,82.3355,Dug Well,0.86
Andhra Pradesh,East Godavari,Kothapeta,Kothapeta,Kothapeta-DW13,16.7159,81.8964,Dug Well,4.4
Andhra Pradesh,East Godavari,Madapeta,Dwarapudi,Dwarapudi-DW13,16.927,81.9167,Dug Well,1.5
Andhra Pradesh,East Godavari,Malikipuram,Malikipuram,Malikipuram,16.4135,81.8047,Dug Well,1.65
,,,,2013DW,,,,
Andhra Pradesh,East Godavari,Malikipuram,Sakhinetipalli,Sakhinetipalli1-NQM,16.4077,81.7513,Bore Well,23.2
Andhra Pradesh,East Godavari,Malikipuram,Sakhinetipalli,Sakhinetipalli2-NQM,16.4077,81.7513,Bore Well,18.04
Andhra Pradesh,East Godavari,Mamidikuduru,Appanapalle,Appanapalle-DW14,16.5307,81.9234,Dug Well,3.4
Andhra Pradesh,East Godavari,Maredumilli,Maredumilli,Maredumilli,17.5959,81.7149,Dug Well,4.39
Andhra Pradesh,East Godavari,Mummidivaram,Mobalacheruvu,Mobalacheruvu-,16.6165,82.0731,Dug Well,1.52
,,,,DW14,,,,
Andhra Pradesh,East Godavari,Mummidivaram,Mummadivaram,Mummadivaram-,16.6442,82.1014,Bore Well,13.27
,,,,NQM,,,,
Andhra Pradesh,East Godavari,Mummidivaram,Thanelankapalli,Thanelankapalli,16.6562,82.1221,Dug Well,1.6
Andhra Pradesh,East Godavari,Pamarru,Kotipalli,Kotipalle-DW14,16.6998,82.038,Dug Well,1.05
Andhra Pradesh,East Godavari,Pithapuram,Pithapuram,Pithapuram,17.113,82.2599,Dug Well,0.4
Andhra Pradesh,East Godavari,Pithapuram,Pithapuram,Pithapuram-DW13,16.404601,81.805816,Dug Well,1.27
Andhra Pradesh,East Godavari,Prathipadu,Dharmavaram,Dharmavaram-DW14,17.227,82.2285,Dug Well,3.45
Andhra Pradesh,East Godavari,Prathipadu,Pattipadu,Pattipadu,17.2302,82.1986,Dug Well,3.54
Andhra Pradesh,East Godavari,Rajahmundry(U),Rajahmundry,"Rajmundry Main 
road 2013DW",16.9915,81.7776,Dug Well,1.75
,,NAME,,,,,,LEVEL
,,,,,,,,(mbgl)
